Project Type,Team Size,Budget ($k),Duration (months),Stakeholder Count,Methodology Used,Team Experience,Risk Level
Mobile App,2,365,31,10,Hybrid,Senior,High
Data Analytics Platform,10,50,21,6,Scrum,Senior,Medium
AI / ML Project,12,47,20,5,Kanban,Senior,Medium
Cybersecurity Solution,3,29,27,4,Waterfall,Senior,High
Cloud Migration,11,57,36,5,Waterfall,Junior,High
Cloud Migration,7,46,6,8,Hybrid,Mixed,Medium
IoT Development,9,177,30,5,Waterfall,Junior,High
ERP Implementation,7,270,15,8,Kanban,Senior,Medium
E-Commerce Platform,5,324,3,6,Waterfall,Junior,Medium
Web Application,8,61,13,3,Waterfall,Senior,Medium
Cybersecurity Solution,4,126,1,6,Agile,Mixed,Medium
E-Commerce Platform,5,47,36,4,Scrum,Mixed,Medium
ERP Implementation,18,444,14,2,Hybrid,Mixed,High
IoT Development,7,56,20,6,Kanban,Senior,Medium
Mobile App,3,66,32,5,Waterfall,Junior,High
ERP Implementation,5,183,14,6,Kanban,Junior,Medium
Mobile App,19,127,18,2,Hybrid,Mixed,Medium
E-Commerce Platform,13,129,33,8,Scrum,Senior,Medium
CRM System,3,307,30,6,Scrum,Mixed,Medium
Data Analytics Platform,3,462,2,3,Kanban,Junior,Medium
IoT Development,9,148,6,5,Scrum,Junior,Medium
Cloud Migration,6,61,34,3,Kanban,Mixed,Medium
Cybersecurity Solution,16,76,30,8,Hybrid,Junior,High
Data Analytics Platform,2,51,29,7,Scrum,Senior,Medium
Web Application,5,398,26,4,Waterfall,Junior,High
Cloud Migration,10,157,1,4,Agile,Junior,Medium
Cloud Migration,8,303,17,8,Hybrid,Mixed,Medium
Mobile App,6,185,10,7,Waterfall,Mixed,Medium
E-Commerce Platform,3,266,3,7,Agile,Junior,Medium
E-Commerce Platform,6,151,16,7,Kanban,Senior,Low
Data Analytics Platform,5,137,2,7,Kanban,Senior,Low
IoT Development,4,301,23,3,Waterfall,Mixed,High
Web Application,7,440,3,7,Scrum,Junior,Medium
CRM System,4,1273,30,6,Waterfall,Mixed,High
AI / ML Project,3,32,21,6,Scrum,Senior,Medium
E-Commerce Platform,4,57,13,6,Scrum,Mixed,Medium
Mobile App,2,192,20,6,Scrum,Junior,Medium
IoT Development,6,251,9,1,Agile,Senior,Low
CRM System,9,87,5,6,Hybrid,Junior,Medium
E-Commerce Platform,6,232,23,5,Waterfall,Junior,High
E-Commerce Platform,6,1382,13,9,Kanban,Mixed,Medium
Cybersecurity Solution,7,209,24,5,Waterfall,Mixed,High
Cloud Migration,5,1027,12,5,Hybrid,Junior,High
IoT Development,5,109,3,9,Agile,Junior,Medium
Cybersecurity Solution,14,45,29,3,Waterfall,Senior,Medium
Cybersecurity Solution,4,273,18,4,Agile,Mixed,Medium
IoT Development,11,41,28,3,Agile,Junior,High
Mobile App,7,71,31,7,Agile,Mixed,Medium
Data Analytics Platform,3,164,28,5,Agile,Senior,Medium
ERP Implementation,7,239,12,8,Waterfall,Junior,High
CRM System,21,41,35,2,Scrum,Senior,Medium
AI / ML Project,9,2000,3,7,Scrum,Senior,Medium
AI / ML Project,5,121,24,8,Kanban,Mixed,High
IoT Development,3,74,34,10,Agile,Mixed,High
Mobile App,22,113,8,5,Scrum,Mixed,Medium
Cloud Migration,6,188,4,4,Hybrid,Senior,Low
Web Application,7,198,19,10,Hybrid,Senior,Medium
Mobile App,13,99,19,5,Hybrid,Mixed,Medium
CRM System,21,139,22,6,Waterfall,Junior,High
IoT Development,9,251,2,10,Hybrid,Junior,High
Mobile App,6,54,17,8,Kanban,Senior,Low
Cybersecurity Solution,6,181,22,8,Scrum,Mixed,Medium
AI / ML Project,13,210,16,5,Kanban,Senior,Medium
Web Application,10,64,20,4,Scrum,Senior,Medium
Data Analytics Platform,7,196,26,5,Hybrid,Senior,Medium
CRM System,3,408,23,6,Kanban,Junior,High
Web Application,7,159,26,6,Scrum,Junior,Medium
IoT Development,7,1152,27,5,Waterfall,Senior,High
ERP Implementation,8,192,21,4,Waterfall,Junior,High
CRM System,10,302,7,6,Scrum,Senior,Low
Cybersecurity Solution,12,146,8,6,Kanban,Junior,Medium
IoT Development,18,49,29,5,Hybrid,Mixed,High
E-Commerce Platform,6,289,18,6,Scrum,Mixed,Medium
AI / ML Project,11,479,26,4,Waterfall,Senior,High
IoT Development,9,54,29,3,Waterfall,Mixed,High
Mobile App,2,350,11,4,Kanban,Senior,Medium
E-Commerce Platform,3,148,7,8,Hybrid,Mixed,Medium
AI / ML Project,10,103,36,11,Agile,Mixed,High
Mobile App,6,212,16,8,Kanban,Senior,Low
ERP Implementation,26,110,25,6,Hybrid,Mixed,High
E-Commerce Platform,9,229,13,7,Agile,Senior,Medium
Mobile App,15,99,11,9,Hybrid,Senior,Medium
E-Commerce Platform,3,55,19,9,Hybrid,Junior,High
Cybersecurity Solution,8,51,28,5,Waterfall,Senior,High
E-Commerce Platform,5,261,17,4,Kanban,Mixed,Medium
Web Application,10,23,25,7,Hybrid,Mixed,Medium
ERP Implementation,6,149,19,6,Agile,Mixed,Medium
CRM System,4,120,24,5,Agile,Junior,Medium
ERP Implementation,12,133,21,5,Agile,Junior,High
Cloud Migration,8,126,23,3,Waterfall,Senior,Medium
Cybersecurity Solution,7,353,15,7,Kanban,Junior,High
IoT Development,13,239,7,7,Kanban,Junior,High
AI / ML Project,3,616,3,6,Scrum,Junior,High
ERP Implementation,18,44,18,4,Agile,Senior,Medium
AI / ML Project,5,102,34,5,Agile,Senior,Medium
CRM System,22,476,33,8,Waterfall,Mixed,High
IoT Development,5,203,35,3,Agile,Mixed,Medium
AI / ML Project,6,73,14,7,Hybrid,Senior,Medium
CRM System,5,96,1,9,Agile,Senior,Low
Data Analytics Platform,3,38,5,7,Hybrid,Mixed,Medium
Data Analytics Platform,8,137,18,2,Hybrid,Senior,Low
AI / ML Project,10,68,24,8,Scrum,Mixed,High
Cloud Migration,29,34,22,5,Scrum,Senior,Medium
Cybersecurity Solution,20,77,33,6,Scrum,Junior,High
Data Analytics Platform,17,75,28,5,Kanban,Junior,High
Cloud Migration,5,57,1,11,Waterfall,Senior,Medium
CRM System,5,29,31,4,Hybrid,Senior,Medium
Mobile App,9,248,31,6,Kanban,Junior,Medium
Cloud Migration,10,153,1,10,Waterfall,Junior,High
Cloud Migration,4,65,13,5,Scrum,Senior,Low
ERP Implementation,10,270,18,2,Scrum,Junior,Medium
Data Analytics Platform,20,107,4,7,Scrum,Mixed,Medium
Web Application,7,41,22,6,Scrum,Junior,Medium
E-Commerce Platform,4,95,31,6,Kanban,Mixed,Medium
Data Analytics Platform,5,78,4,6,Scrum,Junior,Medium
IoT Development,7,127,31,2,Agile,Junior,Medium
IoT Development,6,80,28,8,Waterfall,Senior,High
IoT Development,3,179,11,8,Agile,Junior,High
Web Application,8,51,9,5,Hybrid,Mixed,Medium
ERP Implementation,24,24,2,6,Scrum,Mixed,Medium
AI / ML Project,12,106,16,3,Waterfall,Junior,High
Web Application,14,259,33,9,Hybrid,Junior,High
ERP Implementation,8,358,11,4,Kanban,Senior,Medium
AI / ML Project,7,67,9,5,Kanban,Mixed,Medium
Mobile App,24,73,14,8,Hybrid,Junior,High
Cloud Migration,10,35,12,3,Waterfall,Junior,Medium
Data Analytics Platform,8,291,18,7,Scrum,Senior,Low
AI / ML Project,10,265,11,8,Scrum,Junior,High
Mobile App,22,547,14,7,Scrum,Senior,Medium
Cybersecurity Solution,13,212,25,6,Waterfall,Senior,High
Cybersecurity Solution,7,108,8,4,Kanban,Junior,Medium
ERP Implementation,8,316,17,1,Hybrid,Mixed,Medium
Web Application,6,28,19,3,Kanban,Mixed,Low
Data Analytics Platform,3,75,10,5,Kanban,Mixed,Medium
ERP Implementation,4,164,20,7,Waterfall,Senior,High
IoT Development,10,219,12,5,Waterfall,Senior,Medium
Cybersecurity Solution,8,120,30,6,Kanban,Senior,Medium
Cybersecurity Solution,7,271,21,9,Waterfall,Mixed,High
CRM System,25,111,14,5,Waterfall,Senior,Medium
E-Commerce Platform,16,10,32,4,Hybrid,Mixed,Medium
Web Application,7,115,27,6,Hybrid,Junior,Medium
IoT Development,28,103,4,8,Agile,Senior,Medium
Mobile App,4,174,15,6,Kanban,Senior,Low
IoT Development,4,89,31,7,Agile,Junior,High
IoT Development,3,220,13,7,Kanban,Mixed,High
ERP Implementation,2,87,9,8,Scrum,Senior,Medium
CRM System,8,333,30,10,Agile,Junior,High
Mobile App,2,100,11,5,Scrum,Junior,Medium
Cloud Migration,3,24,5,2,Agile,Junior,Medium
Data Analytics Platform,2,179,21,4,Waterfall,Mixed,High
Cloud Migration,4,48,30,9,Kanban,Mixed,Medium
Cybersecurity Solution,18,46,2,6,Scrum,Mixed,Medium
Web Application,11,15,15,2,Agile,Mixed,Low
IoT Development,10,159,34,6,Waterfall,Senior,High
IoT Development,4,278,27,4,Hybrid,Junior,High
IoT Development,3,473,17,7,Scrum,Mixed,High
CRM System,7,47,36,7,Scrum,Mixed,Medium
ERP Implementation,4,78,9,7,Scrum,Senior,Low
CRM System,3,16,19,9,Hybrid,Senior,Medium
Cloud Migration,6,103,14,4,Waterfall,Senior,Medium
E-Commerce Platform,5,175,23,6,Waterfall,Mixed,Medium
AI / ML Project,3,25,1,5,Agile,Senior,Medium
Cloud Migration,11,257,28,4,Hybrid,Junior,High
Mobile App,10,48,35,6,Hybrid,Senior,Medium
Cloud Migration,2,163,14,11,Hybrid,Mixed,High
AI / ML Project,3,138,22,8,Scrum,Junior,High
CRM System,14,15,13,3,Hybrid,Mixed,Medium
Web Application,3,152,19,8,Hybrid,Senior,Medium
E-Commerce Platform,6,395,7,10,Hybrid,Senior,Medium
Web Application,17,45,16,3,Waterfall,Senior,Medium
E-Commerce Platform,14,62,9,5,Hybrid,Senior,Low
ERP Implementation,9,454,13,6,Waterfall,Junior,High
AI / ML Project,2,231,9,10,Scrum,Junior,High
ERP Implementation,8,424,17,8,Waterfall,Junior,High
IoT Development,11,357,24,7,Hybrid,Mixed,High
AI / ML Project,6,1181,33,2,Waterfall,Senior,High
ERP Implementation,3,890,8,5,Scrum,Mixed,High
IoT Development,15,96,25,11,Scrum,Junior,High
AI / ML Project,5,89,29,9,Agile,Senior,Medium
IoT Development,18,335,27,6,Scrum,Mixed,High
Cloud Migration,9,25,34,5,Agile,Junior,Medium
Web Application,10,172,8,7,Agile,Mixed,Medium
Cybersecurity Solution,12,19,25,5,Scrum,Senior,Medium
Mobile App,5,291,33,4,Hybrid,Mixed,Medium
CRM System,9,65,18,6,Agile,Senior,Low
Cloud Migration,8,175,26,4,Scrum,Junior,Medium
Mobile App,8,358,19,5,Agile,Junior,Medium
CRM System,5,74,23,6,Agile,Senior,Medium
CRM System,12,128,8,8,Waterfall,Senior,Medium
IoT Development,4,70,31,6,Hybrid,Senior,Medium
Mobile App,4,74,28,6,Kanban,Senior,Medium
Cloud Migration,3,274,7,6,Hybrid,Junior,High
ERP Implementation,5,51,10,5,Hybrid,Senior,Medium
Data Analytics Platform,17,21,22,8,Waterfall,Junior,High
ERP Implementation,15,61,33,3,Agile,Mixed,Medium
Web Application,3,197,30,7,Hybrid,Senior,Medium
AI / ML Project,8,571,32,9,Hybrid,Mixed,High
Cybersecurity Solution,4,963,3,6,Agile,Senior,Medium
Mobile App,7,215,16,3,Waterfall,Mixed,Medium
E-Commerce Platform,5,154,2,6,Scrum,Senior,Low
E-Commerce Platform,8,32,10,9,Scrum,Senior,Low
Mobile App,6,91,6,4,Agile,Mixed,Low
Mobile App,14,96,27,9,Scrum,Mixed,Medium
Cybersecurity Solution,5,98,16,4,Hybrid,Junior,High
Cybersecurity Solution,5,75,29,6,Kanban,Junior,High
ERP Implementation,15,207,33,4,Scrum,Senior,Medium
Web Application,7,112,6,5,Waterfall,Senior,Low
ERP Implementation,19,261,2,3,Hybrid,Junior,High
ERP Implementation,18,926,28,8,Hybrid,Senior,High
Data Analytics Platform,10,264,27,2,Hybrid,Senior,Medium
Cloud Migration,2,119,9,7,Waterfall,Mixed,High
Data Analytics Platform,12,119,8,5,Kanban,Mixed,Medium
ERP Implementation,5,121,20,6,Hybrid,Senior,Medium
Cybersecurity Solution,14,189,2,10,Waterfall,Senior,Medium
ERP Implementation,15,104,34,7,Kanban,Senior,Medium
ERP Implementation,13,115,10,5,Agile,Senior,Medium
AI / ML Project,11,84,1,5,Kanban,Mixed,Medium
AI / ML Project,13,33,4,7,Waterfall,Junior,High
Mobile App,2,272,20,9,Waterfall,Senior,High
AI / ML Project,7,70,9,8,Hybrid,Senior,Medium
Data Analytics Platform,5,56,24,7,Kanban,Mixed,Medium
AI / ML Project,3,220,36,9,Waterfall,Mixed,High
Cybersecurity Solution,4,28,21,3,Hybrid,Senior,Medium
Cloud Migration,4,288,2,7,Scrum,Junior,Medium
E-Commerce Platform,16,30,10,3,Hybrid,Mixed,Medium
Mobile App,21,53,4,6,Waterfall,Junior,High
CRM System,12,84,30,4,Scrum,Mixed,Medium
CRM System,14,140,6,3,Agile,Mixed,Medium
AI / ML Project,16,81,12,6,Agile,Mixed,High
IoT Development,6,92,16,5,Hybrid,Mixed,Medium
ERP Implementation,22,121,26,2,Hybrid,Senior,Medium
Cybersecurity Solution,5,110,16,3,Waterfall,Mixed,Medium
Data Analytics Platform,8,53,34,5,Scrum,Junior,Medium
Cloud Migration,8,40,21,4,Scrum,Junior,Medium
ERP Implementation,20,455,15,7,Waterfall,Junior,High
Cloud Migration,9,387,17,6,Scrum,Senior,Medium
E-Commerce Platform,14,480,7,5,Agile,Junior,Medium
IoT Development,4,51,24,6,Kanban,Senior,Medium
IoT Development,3,233,36,6,Agile,Junior,High
CRM System,14,80,22,2,Kanban,Mixed,Medium
CRM System,4,65,3,8,Hybrid,Mixed,Medium
Web Application,3,244,30,6,Waterfall,Mixed,High
Cybersecurity Solution,6,175,4,11,Scrum,Junior,Medium
Data Analytics Platform,7,379,9,10,Kanban,Mixed,Medium
Web Application,9,358,28,7,Waterfall,Mixed,High
CRM System,5,148,8,5,Kanban,Senior,Low
CRM System,10,57,7,6,Hybrid,Senior,Medium
Web Application,5,94,26,5,Waterfall,Mixed,Medium
ERP Implementation,7,287,26,4,Hybrid,Senior,Medium
IoT Development,8,70,6,4,Scrum,Mixed,Medium
Web Application,4,209,8,6,Scrum,Junior,Medium
AI / ML Project,3,33,33,6,Kanban,Junior,High
IoT Development,7,47,33,8,Kanban,Mixed,Medium
Mobile App,9,346,22,3,Scrum,Senior,Medium
CRM System,5,344,7,3,Kanban,Mixed,Medium
AI / ML Project,13,103,34,6,Kanban,Junior,High
ERP Implementation,27,227,29,7,Waterfall,Mixed,High
IoT Development,4,94,35,7,Hybrid,Senior,Medium
IoT Development,7,274,25,5,Agile,Junior,High
AI / ML Project,4,138,12,9,Kanban,Mixed,Medium
Cybersecurity Solution,26,133,21,5,Waterfall,Junior,High
Web Application,10,226,7,3,Agile,Senior,Low
IoT Development,24,47,2,6,Scrum,Senior,Low
CRM System,4,81,31,7,Agile,Senior,Medium
Cybersecurity Solution,6,184,11,8,Agile,Mixed,Medium
AI / ML Project,6,55,10,8,Hybrid,Junior,High
E-Commerce Platform,2,149,18,4,Kanban,Senior,Medium
Cloud Migration,10,55,33,11,Kanban,Mixed,High
Cybersecurity Solution,7,224,1,5,Kanban,Senior,Low
CRM System,6,680,26,4,Kanban,Mixed,Medium
CRM System,7,891,29,5,Waterfall,Mixed,High
IoT Development,4,127,10,10,Waterfall,Mixed,High
AI / ML Project,5,241,33,2,Hybrid,Senior,High
Web Application,8,161,20,10,Kanban,Mixed,Medium
Cloud Migration,9,767,35,9,Kanban,Senior,High
Data Analytics Platform,16,81,24,5,Waterfall,Senior,High
CRM System,6,142,8,4,Agile,Senior,Low
AI / ML Project,11,160,36,2,Scrum,Junior,High
Data Analytics Platform,9,84,14,7,Waterfall,Senior,Medium
Mobile App,13,69,22,1,Agile,Junior,Medium
CRM System,5,330,31,6,Hybrid,Mixed,Medium
ERP Implementation,12,65,26,3,Scrum,Senior,Medium
Data Analytics Platform,3,137,5,5,Scrum,Senior,Low
AI / ML Project,7,49,29,8,Scrum,Senior,Medium
Web Application,4,100,27,3,Agile,Senior,Low
Data Analytics Platform,12,101,29,7,Kanban,Mixed,Medium
CRM System,15,81,27,3,Kanban,Mixed,Medium
IoT Development,5,256,13,5,Agile,Mixed,Medium
Cybersecurity Solution,9,88,22,7,Hybrid,Senior,Medium
IoT Development,7,262,11,8,Hybrid,Senior,Medium
CRM System,21,53,13,6,Agile,Junior,Medium
Cloud Migration,3,26,4,6,Kanban,Mixed,Medium
Data Analytics Platform,23,24,2,13,Hybrid,Mixed,Medium
Data Analytics Platform,7,474,13,5,Scrum,Mixed,Medium
CRM System,8,52,23,4,Hybrid,Senior,Medium
Cloud Migration,4,206,8,11,Hybrid,Junior,Medium
AI / ML Project,8,304,24,5,Kanban,Mixed,High
E-Commerce Platform,6,85,9,10,Hybrid,Junior,Medium
Cloud Migration,5,236,22,9,Waterfall,Mixed,High
Mobile App,10,10,29,5,Hybrid,Mixed,Medium
Cloud Migration,27,155,15,7,Scrum,Junior,High
Data Analytics Platform,3,47,28,5,Kanban,Mixed,Medium
Cybersecurity Solution,29,27,26,3,Hybrid,Junior,High
Mobile App,6,691,12,4,Kanban,Senior,Medium
AI / ML Project,7,137,30,8,Agile,Junior,High
Web Application,23,59,35,8,Kanban,Junior,High
Data Analytics Platform,4,196,22,10,Waterfall,Junior,High
E-Commerce Platform,11,368,32,2,Hybrid,Senior,Medium
CRM System,3,357,21,7,Waterfall,Senior,High
ERP Implementation,11,102,17,7,Waterfall,Senior,Medium
ERP Implementation,9,23,8,11,Scrum,Senior,Medium
CRM System,8,402,10,7,Scrum,Senior,Low
Data Analytics Platform,25,710,3,5,Hybrid,Mixed,High
Cloud Migration,9,230,11,5,Waterfall,Junior,High
AI / ML Project,22,54,35,6,Agile,Senior,High
Web Application,2,125,3,4,Agile,Mixed,Medium
ERP Implementation,4,103,34,10,Waterfall,Mixed,High
CRM System,14,50,33,6,Agile,Senior,Medium
Cloud Migration,10,124,5,2,Waterfall,Junior,High
Cloud Migration,9,33,35,6,Kanban,Senior,Medium
Mobile App,19,128,6,3,Hybrid,Mixed,Medium
CRM System,12,98,20,7,Kanban,Senior,Medium
CRM System,20,10,21,10,Agile,Senior,Medium
CRM System,5,107,10,4,Hybrid,Junior,Medium
Mobile App,4,59,5,6,Hybrid,Junior,Medium
CRM System,29,152,10,12,Hybrid,Senior,Medium
ERP Implementation,8,80,27,5,Waterfall,Senior,High
IoT Development,6,70,11,11,Hybrid,Senior,Medium
Data Analytics Platform,3,51,33,7,Agile,Senior,Medium
E-Commerce Platform,10,439,3,6,Scrum,Senior,Low
IoT Development,6,118,28,6,Waterfall,Mixed,High
Mobile App,8,128,19,7,Agile,Junior,Medium
CRM System,12,1921,27,3,Hybrid,Junior,High
Web Application,8,261,7,9,Hybrid,Mixed,Medium
Data Analytics Platform,2,66,19,5,Scrum,Mixed,Medium
IoT Development,5,41,12,5,Hybrid,Senior,Medium
AI / ML Project,8,177,7,11,Waterfall,Mixed,High
IoT Development,10,59,22,2,Agile,Junior,High
Mobile App,11,85,20,3,Scrum,Mixed,Medium
ERP Implementation,4,189,22,4,Scrum,Senior,Medium
Cybersecurity Solution,16,48,26,7,Hybrid,Senior,High
Mobile App,6,834,33,7,Hybrid,Mixed,Medium
AI / ML Project,5,448,35,2,Agile,Junior,High
ERP Implementation,6,1145,20,3,Scrum,Junior,High
CRM System,7,12,21,7,Kanban,Mixed,Medium
E-Commerce Platform,2,82,13,4,Kanban,Mixed,Medium
Cybersecurity Solution,9,66,13,6,Agile,Junior,Medium
AI / ML Project,28,125,35,3,Waterfall,Senior,High
CRM System,8,80,28,3,Kanban,Senior,Low
IoT Development,2,256,1,10,Waterfall,Senior,High
Mobile App,10,19,26,6,Waterfall,Senior,Medium
Cybersecurity Solution,3,37,18,4,Agile,Senior,Medium
Cybersecurity Solution,6,78,27,6,Agile,Junior,High
IoT Development,5,142,10,2,Kanban,Mixed,Medium
Mobile App,12,432,4,6,Agile,Senior,Low
AI / ML Project,28,216,26,4,Scrum,Junior,High
Cybersecurity Solution,11,36,14,11,Scrum,Junior,Medium
CRM System,13,87,10,6,Agile,Senior,Medium
E-Commerce Platform,7,258,10,11,Scrum,Senior,Medium
Web Application,3,628,22,8,Kanban,Mixed,High
Cloud Migration,7,162,17,2,Waterfall,Mixed,Medium
Cloud Migration,25,17,3,2,Waterfall,Senior,Medium
Data Analytics Platform,9,397,26,9,Kanban,Junior,High
Web Application,4,147,10,5,Scrum,Mixed,Low
Mobile App,7,177,14,4,Kanban,Junior,Medium
Mobile App,6,980,16,6,Scrum,Junior,Medium
Cloud Migration,10,53,14,4,Scrum,Junior,Medium
ERP Implementation,7,76,12,2,Scrum,Mixed,Medium
E-Commerce Platform,9,328,15,8,Scrum,Mixed,Medium
E-Commerce Platform,6,127,14,9,Waterfall,Senior,Medium
Cybersecurity Solution,4,103,9,7,Agile,Senior,Medium
IoT Development,4,292,24,8,Waterfall,Junior,High
Cybersecurity Solution,14,307,23,3,Scrum,Senior,Medium
ERP Implementation,9,275,16,6,Agile,Junior,High
Web Application,5,286,22,1,Hybrid,Mixed,Medium
Cybersecurity Solution,18,310,32,9,Scrum,Senior,High
E-Commerce Platform,2,157,12,6,Agile,Junior,High
CRM System,15,292,26,2,Hybrid,Junior,High
Cloud Migration,4,168,19,7,Agile,Senior,Medium
Mobile App,14,233,16,4,Waterfall,Senior,Medium
E-Commerce Platform,4,299,13,4,Kanban,Junior,Medium
Data Analytics Platform,6,176,32,2,Agile,Junior,Medium
Mobile App,4,60,34,6,Kanban,Junior,Medium
CRM System,7,47,16,7,Kanban,Senior,Low
Web Application,5,139,16,4,Agile,Senior,Low
Web Application,9,60,4,6,Scrum,Mixed,Low
Data Analytics Platform,4,466,23,9,Kanban,Junior,High
Web Application,12,136,20,6,Agile,Senior,Medium
Cloud Migration,6,165,35,4,Agile,Senior,Medium
AI / ML Project,5,491,17,7,Hybrid,Senior,Medium
AI / ML Project,8,403,9,7,Hybrid,Junior,High
Cloud Migration,9,560,21,6,Agile,Senior,Medium
Cybersecurity Solution,10,251,22,10,Agile,Mixed,High
Cloud Migration,29,89,8,6,Hybrid,Junior,High
Cybersecurity Solution,7,104,34,7,Kanban,Senior,Medium
ERP Implementation,16,220,19,4,Scrum,Senior,High
CRM System,7,399,33,5,Waterfall,Mixed,High
E-Commerce Platform,2,85,17,8,Kanban,Mixed,Medium
E-Commerce Platform,5,1224,8,6,Scrum,Junior,Medium
Cloud Migration,4,138,14,5,Scrum,Junior,Medium
Cybersecurity Solution,28,392,13,2,Scrum,Junior,High
Data Analytics Platform,9,43,36,5,Hybrid,Senior,Medium
ERP Implementation,5,227,5,9,Scrum,Junior,Medium
Cybersecurity Solution,3,105,16,7,Scrum,Mixed,Medium
Cybersecurity Solution,10,49,8,5,Kanban,Junior,Medium
E-Commerce Platform,3,102,2,8,Agile,Mixed,Medium
Data Analytics Platform,4,40,36,7,Hybrid,Senior,Medium
Mobile App,8,228,5,13,Scrum,Mixed,Medium
Mobile App,10,58,29,3,Kanban,Senior,Low
Data Analytics Platform,13,85,21,9,Waterfall,Mixed,High
E-Commerce Platform,4,24,6,6,Kanban,Senior,Low
Web Application,22,52,30,8,Waterfall,Junior,High
AI / ML Project,7,34,30,8,Kanban,Junior,High
CRM System,6,30,17,7,Agile,Mixed,Low
Cloud Migration,9,177,2,7,Waterfall,Junior,High
Data Analytics Platform,6,179,18,1,Waterfall,Senior,Medium
CRM System,9,32,21,5,Agile,Senior,Medium
AI / ML Project,13,494,14,3,Agile,Mixed,Medium
Data Analytics Platform,6,141,21,4,Kanban,Mixed,Medium
Cloud Migration,4,77,30,6,Scrum,Mixed,Medium
Cybersecurity Solution,22,30,4,7,Hybrid,Mixed,High
Cloud Migration,4,257,19,2,Hybrid,Senior,Medium
CRM System,6,97,16,8,Scrum,Junior,Medium
CRM System,14,274,10,9,Hybrid,Junior,High
IoT Development,9,83,10,7,Hybrid,Mixed,Medium
Web Application,9,438,22,5,Kanban,Junior,Medium
ERP Implementation,5,183,28,4,Waterfall,Mixed,High
Cybersecurity Solution,8,399,29,5,Kanban,Senior,Medium
E-Commerce Platform,9,332,14,8,Hybrid,Junior,High
Data Analytics Platform,5,269,15,9,Hybrid,Junior,Medium
E-Commerce Platform,7,2000,9,4,Kanban,Junior,Medium
CRM System,3,136,19,8,Kanban,Senior,Medium
IoT Development,6,176,8,4,Hybrid,Mixed,Medium
CRM System,5,196,15,6,Scrum,Junior,Medium
IoT Development,7,259,16,3,Agile,Junior,Medium
Cybersecurity Solution,10,80,5,11,Scrum,Junior,Medium
Cybersecurity Solution,18,166,21,4,Waterfall,Senior,High
Web Application,9,322,1,7,Waterfall,Senior,Medium
Web Application,4,86,27,4,Waterfall,Mixed,Medium
ERP Implementation,4,152,9,6,Agile,Junior,Medium
ERP Implementation,4,76,28,8,Waterfall,Junior,High
Cybersecurity Solution,3,158,30,8,Scrum,Mixed,High
Web Application,7,89,1,9,Kanban,Senior,Low
AI / ML Project,6,185,24,4,Scrum,Senior,Medium
CRM System,3,105,7,8,Waterfall,Junior,High
Cybersecurity Solution,6,139,27,7,Kanban,Mixed,Medium
Web Application,10,16,5,6,Waterfall,Senior,Low
Cloud Migration,8,348,26,7,Kanban,Mixed,Medium
Web Application,6,33,24,2,Kanban,Senior,Low
E-Commerce Platform,12,192,7,3,Agile,Junior,Medium
Mobile App,21,119,8,4,Kanban,Junior,Medium
Data Analytics Platform,25,180,12,3,Agile,Senior,Medium
